Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/12/2024,10/13/2024,AMAZON MKTPL*U295V0NB3,Shopping,Sale,-12.50,
10/09/2024,10/11/2024,AMC 0433 SARATOGA 14,Entertainment,Sale,-44.00,
10/07/2024,10/10/2024,SINGAPOREAIR6182457302172,Travel,Sale,-297.98,
10/09/2024,10/10/2024,KAISER 02090447,Health & Wellness,Sale,-25.00,
10/09/2024,10/10/2024,KAISER 02090447,Health & Wellness,Sale,-10.00,
10/09/2024,10/10/2024,KAISER PHARM 441,Health & Wellness,Sale,-4.90,
10/08/2024,10/08/2024,MINT MOBILE,Bills & Utilities,Sale,-118.51,
10/05/2024,10/07/2024,SPROUTS FARMERS MAR,Groceries,Sale,-36.97,
10/01/2024,10/03/2024,MADRAS GROCERIES,Groceries,Sale,-75.02,
10/02/2024,10/03/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-36.48,
09/29/2024,10/01/2024,TRADER JOE S #062,Groceries,Sale,-18.90,
09/30/2024,10/01/2024,USPS PO 0570320240,Shopping,Sale,-3.99,
09/29/2024,09/30/2024,THE UPS STORE 0240,Personal,Sale,-1.08,
09/27/2024,09/29/2024,THE HOME DEPOT #6635,Home,Sale,-1.51,
09/26/2024,09/29/2024,TST*MYLAPORE - WESTGATE,Food & Drink,Sale,-15.26,
09/27/2024,09/29/2024,THE HOME DEPOT #6635,Home,Sale,-49.71,
09/26/2024,09/29/2024,TST*MYLAPORE - WESTGATE,Food & Drink,Sale,-45.60,
09/26/2024,09/27/2024,CHEVRON 0091325,Gas,Sale,-20.42,
09/25/2024,09/26/2024,COSTCO GAS #0423,Gas,Sale,-48.45,
09/25/2024,09/26/2024,COSTCO WHSE #0423,Shopping,Sale,-181.24,
09/20/2024,09/22/2024,CHEVRON 0359586,Gas,Sale,-24.57,
09/21/2024,09/22/2024,ARGONAUT E* ORDER 0468,Gifts & Donations,Sale,-15.73,
09/18/2024,09/18/2024,Payment Thank You - Web,,Payment,6658.95,
09/17/2024,09/18/2024,Amazon.com*6Y6B72OH3,Shopping,Sale,-21.68,
09/11/2024,09/12/2024,DD *DOORDASH BIRYANIKA,Food & Drink,Sale,-29.08,
09/07/2024,09/09/2024,THE HOME DEPOT #6964,Home,Return,18.81,
09/08/2024,09/09/2024,Amazon.com*ZT3HN4RP0,Shopping,Sale,-54.20,
09/06/2024,09/08/2024,DD *DOORDASH INDIACASH,Food & Drink,Sale,-17.27,
09/04/2024,09/05/2024,BA MOBILE@ADOBE CAFE,Food & Drink,Sale,-7.50,
09/02/2024,09/03/2024,CHIPOTLE 1241,Food & Drink,Sale,-11.59,
09/01/2024,09/03/2024,THE HOME DEPOT #6964,Home,Sale,-76.62,
09/01/2024,09/02/2024,COSTCO GAS #1660,Gas,Sale,-41.15,
09/01/2024,09/02/2024,COSTCO WHSE #1660,Shopping,Sale,-43.70,
08/29/2024,09/01/2024,CVS/PHARMACY #09600,Health & Wellness,Sale,-21.81,
08/30/2024,09/01/2024,SQ *BIRYANI JUNCTION,Home,Sale,-29.89,
08/30/2024,09/01/2024,76 - DBA BROOKVALE GAS &amp;,Gas,Sale,-20.31,
08/24/2024,08/30/2024,LG ELECTRONICS USA INC,Shopping,Sale,-1636.00,
08/28/2024,08/28/2024,ALAMEDA COUNTY WATER,Bills & Utilities,Sale,-197.94,
08/28/2024,08/28/2024,INDIA CASH AND CARRY,Groceries,Sale,-148.48,
08/25/2024,08/27/2024,LUCKY #712 FREMONT,Groceries,Sale,-8.79,
08/25/2024,08/25/2024,WASTE CONNECTIONS,Bills & Utilities,Sale,-134.85,
08/23/2024,08/25/2024,DD *DOORDASH BHIMAVARA,Food & Drink,Sale,-26.61,
08/23/2024,08/25/2024,COSTCO GAS #1660,Gas,Sale,-83.78,
08/24/2024,08/25/2024,CHEVRON 0091081,Gas,Sale,-31.98,
08/23/2024,08/25/2024,LUCKY #712 FREMONT,Groceries,Sale,-24.67,
